what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1380173197958
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1380173197958
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1380173197974
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice.ui",1380173197974
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1380173197974
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1380173197974
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1380173197974
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1380173197974
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1380173197974
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1380173197990
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1380173197990
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1380173197990
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1380173198005
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1380173198005
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1380173198005
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1380173198005
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1380173198021
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1380173198021
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1380173198036
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1380173198036
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1380173198052
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1380173198052
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1380173198052
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1380173198052
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1380173198052
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1380173198068
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1380173198068
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1380173198068
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1380173198068
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1380173198068
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1380173198083
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1380173198083
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1380173198083
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1380173198083
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1380173198083
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1380173198083
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1380173198083
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1380173198083
started,bundle,com.ibm.ccl.help.preferenceharvester,1.2.0.v20111020_0100,"com.ibm.ccl.help.preferenceharvester",1380173198083
started,bundle,com.ibm.ut.common,1.0.0.v20111014_0104,"com.ibm.ut.common",1380173198083
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1380173198083
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1380173198083
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1380173198083
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1380173198083
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1380173198099
os,sysinfo,,,"win32",1380173198099
arch,sysinfo,,,"x86",1380173198099
ws,sysinfo,,,"win32",1380173198099
locale,sysinfo,,,"ru_RU",1380173198099
processors,sysinfo,,,"4",1380173198099
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380173198099
java.runtime.version,sysinfo,,,"pwi3260_26sr5ifx-20130314_01 (SR5)",1380173198099
java.specification.name,sysinfo,,,"Java Platform API Specification",1380173198099
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380173198099
java.specification.version,sysinfo,,,"1.6",1380173198099
java.vendor,sysinfo,,,"IBM Corporation",1380173198099
java.version,sysinfo,,,"1.6.0",1380173198099
java.vm.info,sysinfo,,,"JRE 1.6.0 Windows 7 x86-32 20130204_137148 (JIT enabled, AOT enabled)\nJ9VM - R26_Java626_SR5_20130204_0851_B137148\nJIT  - r11.b03_20130131_32403\nGC   - R26_Java626_SR5_20130204_0851_B137148\nJ9CL - 20130204_137148",1380173198099
java.vm.name,sysinfo,,,"IBM J9 VM",1380173198099
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380173198099
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1380173198099
java.vm.specification.version,sysinfo,,,"1.0",1380173198099
java.vm.vendor,sysinfo,,,"IBM Corporation",1380173198099
java.vm.version,sysinfo,,,"2.6",1380173198099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173198660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173201500
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380173203497
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1380173203497
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1380173203528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173216260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173226338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173229084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173263111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173266621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173274624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173287308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173333925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1380173333925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173337405
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173343629
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1380173343692
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1380173344285
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1380173344394
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1380173344441
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1380173344456
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1380173344472
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1380173344503
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1380173344503
